10 3879
1754 learn 5
1755 rapidly 2
1756 church 5
1757 trumpcare 3
1758 stuck 3
1759 create 7
1760 intelligent 3
1761 conviction 1
1762 active 2
1763 summary 2
1764 mentioning 2
1765 reached 2
1766 despite 4
1767 safer 1
1768 myself 4
1769 perpetrated 1
1770 laughable 1
1771 elderly 6
1772 debate 3
1773 hopefully 4
1774 judges 3
1775 disappointed 3
1776 assertion 1
1777 negotiation 1
1778 upon 2
1779 communities 4
1780 connection 4
1781 societal 2
1782 stay 3
1783 promised 1
1784 dreamers 1
1785 dedicated 1
1786 easier 3
1787 kim 1
1788 residents 2
1789 technology 6
1790 caring 1
1791 wish 2
1792 nominated 1
1793 solution 4
1794 focusing 2
1795 demonstrated 5
1796 acceptable 2
1797 husband 4
1798 alternative 4
1799 figure 6
1800 return 3
1801 attitudes 1
1802 ultimate 2
1803 loose 2
1804 execution 1
1805 service 9
1806 cynical 1
1807 client 2
1808 suspected 2
1809 status 2
